ID:	101291
Title:	Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai
Title:	青春ブタ野郎はバニーガール先輩の夢を見ない
Title:	Rascal Does Not Dream of Bunny Girl Senpai
Tag:	School
Tag:	Amnesia
Tag:	Female Harem
Tag:	Acting
Tag:	Heterosexual
Tag:	Bullying
Tag:	Male Protagonist
Tag:	Love Triangle
Tag:	Primarily Teen Cast
Tag:	Coming of Age
Tag:	Body Swapping
Tag:	Idol
Tag:	Primarily Female Cast
Tag:	Tsundere
Tag:	Hikikomori
Tag:	Dissociative Identities
Tag:	Urban
Tag:	Urban Fantasy
Tag:	Tragedy
Tag:	Memory Manipulation
Tag:	Rehabilitation
Tag:	Time Manipulation
