Baccano!,10,Preminence
BECK,10,Preminence
Gin no Saji,10,Preminence
Gin no Saji 2,10,Preminence
Ishuzoku Reviewers,10,Preminence
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,10,Preminence
Kingdom 4th Season,10,Preminence
RahXephon,10,Preminence
Kusuriya no Hitorigoto,9.8,Preminence
Sousou no Frieren,9.8,Preminence
Boku no Kokoro no Yabai Yatsu 2nd Season,9.6,Preminence
86: Eighty Six,9.5,Preminence
Demi-chan wa Kataritai,9.5,Preminence
Nejimaki Seirei Senki: Tenkyou no Alderamin,9.5,Preminence
Tensei Shitara Slime Datta Ken,9.4,Preminence
Dance in the Vampire Bund,9.3,Preminence
Kingdom 3rd Season,9.3,Preminence
Koukyoushihen Eureka Seven,9.3,Preminence
Mahoutsukai no Yome,9.3,Preminence
Dark Gathering,9.2,Preminence
Dungeon Meshi,9.1,Preminence
Kekkai Sensen,9,Preminence
Yahari Ore no Seishun Love Come wa Machigatteiru. Zoku,9,Preminence
Bungou Stray Dogs 4th Season,8.8,Preminence
Dr. STONE: NEW WORLD Part 2,8.8,Preminence
Guilty Crown,8.8,Preminence
Kekkai Sensen & BEYOND,8.8,Preminence
World Trigger 2nd Season,8.8,Preminence
BLEACH: Sennen Kessen-hen,8.7,Preminence
DARKER THAN BLACK: Kuro no Keiyakusha,8.7,Preminence
Genshiken,8.7,Preminence
Mahouka Koukou no Rettousei,8.7,Preminence
Mononogatari,8.7,Preminence
Odd Taxi,8.7,Preminence
Tsuki ga Michibiku Isekai Douchuu,8.7,Preminence
Yofukashi no Uta,8.7,Preminence
"Benriya Saitou-san, Isekai ni Iku",8.6,Preminence
"GATE: Jieitai Kanochi nite, Kaku Tatakaeri",8.6,Preminence
"GATE: Jieitai Kanochi nite, Kaku Tatakaeri 2",8.6,Preminence
Genshiken 2,8.6,Preminence
Kingdom 2nd Season,8.6,Preminence
Mahoutsukai no Yome SEASON 2 Part 2,8.6,Preminence
Mushoku Tensei: Isekai Ittara Honki Dasu,8.6,Preminence
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.6,Preminence
Arknights: Reimei Zensou,8.5,Preminence
Bocchi the Rock!,8.5,Preminence
Bungou Stray Dogs 5th Season,8.5,Preminence
Dimension W,8.5,Preminence
Mahoutsukai no Yome SEASON 2,8.5,Preminence
Shadows House,8.5,Preminence
World Trigger 3rd Season,8.5,Preminence
Akagami no Shirayuki-hime,8.4,Preminence
Lv1 Maou to One Room Yuusha,8.4,Preminence
Overlord IV,8.4,Preminence
Yahari Ore no Seishun Love Come wa Machigatteiru.,8.4,Preminence
BLEACH: Sennen Kessen-hen - Ketsubetsu-tan,8.3,Preminence
Dr. STONE,8.3,Preminence
Dr. STONE: STONE WARS,8.3,Preminence
Kingdom,8.3,Preminence
Shadows House 2nd Season,8.1,Preminence
Akatsuki no Yona,8,Preminence
Arknights: Touin Kiro,8,Preminence
Boku no Kokoro no Yabai Yatsu,8,Preminence
Mononogatari 2nd Season,8,Preminence
SPY×FAMILY,8,Preminence
Bungou Stray Dogs 3rd Season,7.9,Preminence
Dr. STONE: NEW WORLD,7.9,Preminence
Kaguya-sama wa Kokurasetai: Ultra Romantic,7.9,Preminence
Meikyuu Black Company,7.9,Preminence
Senpai ga Uzai Kouhai no Hanashi,7.9,Preminence
Jormungand,7.8,Preminence
Kage no Jitsuryokusha ni Naritakute!,7.8,Preminence
Mou Ippon!,7.8,Preminence
Tales of Zestiria the Cross,7.8,Preminence
Undead Unluck,7.8,Preminence
Zetman,7.8,Preminence
Bungou Stray Dogs,7.7,Preminence
Bungou Stray Dogs 2nd Season,7.7,Preminence
Mayo Chiki!,7.7,Preminence
Musaigen no Phantom World,7.7,Preminence
PSYCHO-PASS,7.7,Preminence
Ao no Exorcist: Kyoto Fujouou-hen,7.6,Preminence
Shangri-La Frontier,7.5,Preminence
Oroka na Tenshi wa Akuma to Odoru,7.4,Preminence
SPY×FAMILY Part 2,7.4,Preminence
Jormungand: PERFECT ORDER,7.3,Preminence
Kimi wa Houkago Insomnia,7.3,Preminence
Spy Kyoushitsu,7.3,Preminence
Spy Kyoushitsu 2nd season,7.3,Preminence
Hyouka,7.2,Preminence
Skip to Loafer,7.2,Preminence
Kage no Jitsuryokusha ni Naritakute! 2nd season,7.1,Preminence
Noein: Mou Hitori no Kimi e,7.1,Preminence
PSYCHO-PASS 2,7.1,Preminence
100-man no Inochi no Ue ni Ore wa Tatteiru,7,Preminence
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou Meikyuu-hen,7,Preminence
Horimiya,7,Preminence
Radiant,7,Preminence
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,7,Preminence
Ao no Exorcist,6.9,Preminence
Durarara!!,6.9,Preminence
Kyoukaisenjou no Horizon,6.9,Preminence
