Oddtaxi, tags: 
Vinland Saga, tags: 
Scott Pilgrim, tags: 
One Piece, tags: 
JoJo Part 2, tags: 
JoJo Part 1, tags: 
Urusei Yatsura (2022), tags: 
A Place Further than the Universe, tags: 
Hunter X Hunter, tags: 
Erased, tags: 
The Promised Neverland (S1), Name: Yakusoku no Neverland, Name: The Promised Neverland, tags: 
Assassination Classroom, tags: 
The Ancient Magus Bride (S1), tags: 
Death Note, tags: 
JoJo Part 3, tags: 
Bleach The Thousand Year Blood War Arc, tags: 
Tokyo Ghoul, tags: 
Demon Slayer, tags: 
"Oshi no Ko", tags: Idol, Isekai
Akiba Meido Sensou, tags: Maids
Chihayafuru, tags: Drama
Chuunibyou demo Koi ga Shitai!, tags: Chuunibyou, Romance
Dosanko Gal wa Namara Menkoi, tags: Gyaru, Romance
Fruits Basket (2001), Name: Fruits Basket, tags: Drama, Shojo, Zodiac, Romance
Horimiya: Piece, tags: Romance
Houkago Saikoro Club, tags: Board games
Idol, tags: 
"Ijiranaide Nagatoro-san 2nd Attack", tags: 
Kanojo mo Kanojo, tags: 
Kanojo mo Kanojo Season 2, tags: 
"Kanojo Okarishimasu", tags: 
"Keikenzumi na Kimi to Keiken Zero na Ore ga Otsukiai suru Hanashi.", tags: 
Kidou Senshi Gundam: Suisei no Majo, tags: 
Kidou Senshi Gundam: Suisei no Majo - Prologue, tags: 
Kidou Senshi Gundam: Suisei no Majo Season 2, tags: 
Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo, tags: 
"Komi-san wa Comyushou desu.", Name: "Komi-san wa, Comyushou desu.", tags: 
"Komi-san wa Comyushou desu. 2nd Season", Name: "Komi-san wa, Comyushou desu. 2nd Season", tags: 
Kurenai no Buta, tags: 
Nodame Cantabile, tags: 
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken, tags: 
Paripi Koumei, Name: Ya Boy! Kongming, tags: 
Renai Flops, tags: 
Shiguang Dailiren Fan Wai Pian: Biwu Zhaoqin, tags: 
Shin Kidou Senki Gundam Wing: Endless Waltz, tags: 
Shoujo Kakumei Utena: Adolescence Mokushiroku, tags: 
Skip Beat!, tags: 
Tensei Oujo to Tensai Reijou no Mahou Kakumei, tags: 
Uchi no Kaisha no Chiisai Senpai no Hanashi, tags: 
Yubisaki to Renren, tags: 
R.O.D: Read or Die, tags: 
R.O.D: The TV, tags: 
InuYasha, tags: 
Persona 4 the Animation, tags: 
Summertime Render, tags: 
Kakkou no Iinazuke, tags: 
Shiguang Dailiren II, tags: 
"Fuufu Ijou, Koibito Miman.", tags: 
Kubo-san wa Mob wo Yurusanai, tags: 
Initial D First Stage, tags: 
Bishoujo Senshi Sailor Moon, tags: 
Jahy-sama wa Kujikenai!, tags: 
Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou, tags: 
Undead Unluck, tags: 
Mato Seihei no Slave, tags: 
Oniichan wa Oshimai!, tags: 
Suki na Ko ga Megane wo Wasureta, tags: 
Wind Breaker, tags: 
11eyes, tags: 
5-toubun no Hanayome, tags: 
5-toubun no Hanayome ∬, tags: 
86, tags: 
86 Part 2, tags: 
Akame ga Kill!, tags: 
Amnesia, tags: 
Angel Beats!, tags: 
Ao no Exorcist, tags: 
Ao no Exorcist: Kyoto Fujouou-hen, tags: 
Ao no Kanata no Four Rhythm, tags: 
Aoki Hagane no Arpeggio: Ars Nova, tags: 
Asobi ni Iku yo!, tags: 
Asobi ni Iku yo!: Asobi ni Oide, tags: 
B-gata H-kei, tags: 
Baka to Test to Shoukanjuu, tags: 
Bakemonogatari, tags: 
Basilisk: Kouga Ninpou Chou, tags: 
Bayonetta: Bloody Fate, tags: 
Big Order (TV), tags: 
Birdie Wing: Golf Girls' Story, tags: 
Black Blood Brothers, tags: 
Black Clover, tags: 
Black★Rock Shooter, tags: 
Black★Rock Shooter (OVA), tags: 
Black★Rock Shooter (TV), tags: 
Blood+, tags: 
Bloodivores, tags: 
Boku no Hero Academia, Name: My Hero Academia, tags: 
Boku no Hero Academia 2nd Season, tags: 
Boku no Hero Academia 3rd Season, tags: 
Boku no Hero Academia 4th Season, tags: 
Boku no Hero Academia 5th Season, tags: 
Boku no Hero Academia 6th Season, tags: 
Boku wa Tomodachi ga Sukunai, tags: 
Boku wa Tomodachi ga Sukunai Next, tags: 
Boku wa Tomodachi ga Sukunai: Yaminabe wa Bishoujo ga Zannen na Nioi, tags: 
