86: Eighty Six,7.5
86: Eighty Six Part 2,9
[Oshi no Ko],8.5
Accel World,7
Akiba Meido Sensou,6
Ame wo Tsugeru Hyouryuu Danchi,9
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,4
Ansatsu Kyoushitsu,9
Ansatsu Kyoushitsu 2,10
Bakemonogatari,9
BANANA FISH,8
Black Clover,6.5
Black Clover: Mahou Tei no Ken,5
Bocchi the Rock!,9.5
Boku no Hero Academia,7
Boku no Hero Academia 2,8.5
Boku no Hero Academia 3,8
Boku no Hero Academia 4,9
Boku no Hero Academia 5,5
Boku no Hero Academia 6,8
Boku no Hero Academia THE MOVIE: Futari no Hero,7
Boku no Hero Academia THE MOVIE: Heroes:Rising,6
Bubble,6
Captain Tsubasa (2018),8
Chainsaw Man,8
Cyberpunk: Edgerunners,8
Danganronpa 3: The End of Kibougamine Gakuen - Kibou-hen,7
Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,8
Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,8.5
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei - The Animation,4
DEATH NOTE,9.5
Dr. STONE,9
Dr. STONE: NEW WORLD,9
Dr. STONE: NEW WORLD Part 2,9.5
Dr. STONE: Ryuusui,9
Dr. STONE: STONE WARS,7.5
Dragon Ball,8
Dragon Ball GT,5
Dragon Ball Kai,2
Dragon Ball Kai (2014),2
Dragon Ball Super,4
Dragon Ball Super: Broly,7
Dragon Ball Z,8.5
Dragon Ball Z: Konoyo de Ichiban Tsuyoi Yatsu,7
Dragon Ball Z: Ora no Gohan wo Kaese!!,7
Dragon Quest: Your Story,6
Dungeon Meshi,9
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,7
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,5.5
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,7
Fate/Zero,8
Fate/Zero 2nd Season,9.5
Fumetsu no Anata e,8
Gintama,9
Gintama',9.5
Gintama': Enchousen,10
Gintama.,9.5
Gintama.: Porori-hen,6.5
Gintama.: Shirogane no Tamashii-hen,7.5
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,9
Gintama: Kanketsu-hen - Yorozuya yo Eien Nare,9
Gintama: Shinyaku Benizakura-hen,8
Gintama: THE FINAL,10
Gintama: THE SEMI-FINAL,4
Gintama°,10
Gintamaº: Aizome Kaori-hen,8.5
