Anime Title,10
00:08,5
1001 Nights,6
12-sai.: Chicchana Mune no Tokimeki,5
12-sai.: Chicchana Mune no Tokimeki 2nd Season,5
180-byou de Kimi no Mimi wo Shiawase ni Dekiru ka?,3
30-sai made Doutei dato Mahoutsukai ni Nareru Rashii,7
3D Kanojo: Real Girl,5
3D Kanojo: Real Girl 2nd Season,6
6 Lovers,5
91 Days,8
A-Girl,7
ACCA: 13-ku Kansatsu-ka,8
Acchi Kocchi,8
Adachi to Shimamura,8
Afro Samurai,7
Aharen-san wa Hakarenai,7
Ai no Utagoe wo Kikasete,7
Aiura,6
Akagami no Shirayuki-hime,7
Akagami no Shirayuki-hime 2nd Season,8
Akatsuki no Yona,8
Akatsuki no Yona OVA,7
Akebi-chan no Sailor-fuku,7
Akkun to Kanojo,4
Akudama Drive,7
Alice to Zouroku,6
Amaama to Inazuma,7
Ame wo Tsugeru Hyouryuu Danchi,8
Ani ni Tsukeru Kusuri wa Nai!,8
Ani ni Tsukeru Kusuri wa Nai! 2,7
Another,7
Ansatsu Kyoushitsu,8
Ansatsu Kyoushitsu 2nd Season,9
Ansatsu Kyoushitsu: 365-nichi no Jikan,7
Ao Haru Ride,5
Aoi Bungaku Series,8
Aoi Hana,8
Appare-Ranman!,7
Arakawa Under the Bridge,9
Arcana Famiglia,5
Arete Hime,6
Arte,7
Artiswitch,7
Artiswitch Picture Drama,6
Aru Asa Dummy Head Mic ni Natteita Ore-kun no Jinsei,2
Asagao to Kase-san.,7
Ashita Sekai ga Owaru toshitemo,5
Asobi Asobase,8
Atarashii Joushi wa Do Tennen,7
Ayaka,4
Ayakashi Triangle,5
Ayakashi: Japanese Classic Horror,7
Baccano!,9
Baccano! Specials,7
Back Street Girls: Gokudolls,7
Backkom,6
Bakemono no Ko,8
Ballroom e Youkoso,7
Bananya,7
Barakamon,8
Bartender,7
Birthday Wonderland,6
Bishounen Tanteidan,7
Black Lagoon,8
Black Lagoon: The Second Barrage,8
Blend S,6
Blood Lad,4
Blood Lad: Wagahai wa Neko de wa Nai,3
Bocchi the Rock!,7
Boku dake ga Inai Machi,8
Boku no Kokoro no Yabai Yatsu,8
Boku no Kokoro no Yabai Yatsu 2nd Season,8
Boku wa Imouto ni Koi wo Suru,6
Bonjour♪Koiaji Pâtisserie,3
Brothers Conflict,4
Bubble,5
Buddy Daddies,7
Bungou Stray Dogs,8
Bungou Stray Dogs 2nd Season,8
Bungou Stray Dogs 3rd Season,8
Bungou Stray Dogs 4th Season,8
Bungou Stray Dogs Wan!,7
Burn the Witch,7
Burn the Witch #0.8,8
C Danchi,6
Call Me Tonight,6
Caramel Honey,5
Carole & Tuesday,7
Cencoroll,7
Chainsaw Man,8
Charlotte,7
Charlotte: Tsuyoimono-tachi,6
Cherry no Manma,5
Chi's Sweet Home,9
Chika Gentou Gekiga: Shoujo Tsubaki,7
Chio-chan no Tsuugakuro,7
Chouyaku Hyakuninisshu: Uta Koi.,10
Chuubyou Gekihatsu Boy,6
Cider no You ni Kotoba ga Wakiagaru,7
Cinderella Monogatari,7
Cipher,4
Cool Doji Danshi,7
Coquelicot-zaka kara,8
Corpse Party: Missing Footage,5
Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou,6
Dance Dance Danseur,9
Dance with Devils,5
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,6
Danna ga Nani wo Itteiru ka Wakaranai Ken,8
Danna ga Nani wo Itteiru ka Wakaranai Ken 2 Sure-me,7
Danshi Koukousei no Nichijou,9
Dead Leaves,8
Deaimon,8
Death Parade,8
Deca-Dence,7
Deji Meets Girl,6
Dekiru Neko wa Kyou mo Yuuutsu,8
Detroit Metal City,7
Devilman: Crybaby,8
Diabolik Lovers,3
Do It Yourself!!,8
Dog Signal,7
Donten ni Warau,7
Dorohedoro,9
Dororo,8
"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",7
Dounika Naru Hibi,4
Drifters,8
Dumbbell Nan Kilo Moteru?,7
Durarara!!,7
Durarara!!x2 Ketsu,8
Durarara!!x2 Shou,7
Durarara!!x2 Ten,7
Eiga Daisuki Pompo-san,8
Eikoku Koi Monogatari Emma,8
Eizouken ni wa Te wo Dasu na!,8
Emiya-san Chi no Kyou no Gohan,7
Enen no Shouboutai,6
Ensemble Stars!,6
Eromanga-sensei,4
Fairy Ranmaru: Anata no Kokoro Otasuke Shimasu,6
Fantasy Bishoujo Juniku Ojisan to,7
Fastening Days,8
Fastening Days 2,7
Fastening Days 3,6
Fastening Days 4,6
Flying Witch,7
Free!,7
Free! Dive to the Future,7
Free! Eternal Summer,7
Free! Movie 4: The Final Stroke - Zenpen,7
Fruits Basket 1st Season,7
Fruits Basket 2nd Season,8
Fruits Basket: Prelude,8
Fruits Basket: The Final,9
Fudanshi Koukou Seikatsu,5
Fudanshi Shoukan: Isekai de Shinjuu ni Hameraremashita,5
Fudanshi Shoukan: Isekai de Shinjuu ni Hameraremashita 2nd Season,5
Fudanshi Shoukan: Isekai de Shinjuu ni Hameraremashita 3rd Season,5
Fugou Keiji: Balance:Unlimited,7
Fullmetal Alchemist: Brotherhood,9
Fune wo Amu,8
Fuse: Teppou Musume no Torimonochou,7
Gake no Ue no Ponyo,8
Gakkou no Kaidan,6
Gakkougurashi!,6
Gakuen Babysitters,7
Gakuen Heaven,3
Gal to Kyouryuu,6
Ganbare Douki-chan,6
Ganbare Douki-chan: Kakusa Shakai ni Nayamu Kaisha no Douki,5
Gangsta.,8
Gankutsuou,8
Gekai Elise,6
Gekkan Shoujo Nozaki-kun,8
Gekkan Shoujo Nozaki-kun Specials,7
Ghost Hunt,6
Gin no Saji,9
Given,9
Given Movie 1,7
Given: Uragawa no Sonzai,8
Gokusen,7
Gokushufudou,6
Golden Time,7
"Goodbye, Don Glees!",7
Grand Blue,9
Gravitation,4
Great Pretender,8
Great Teacher Onizuka,8
Gugure! Kokkuri-san,6
Gwahoheub,7
Gyo,6
Gyokou no Nikuko-chan,9
Haikyuu!!,8
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,7
Haikyuu!! Second Season,8
Haikyuu!! To the Top,8
Haikyuu!! To the Top Part 2,8
Hakubo,5
Hakumei to Mikochi,8
Hakuouki,6
Hakuouki: Hekketsuroku,7
Hakushaku to Yousei,6
Hal,7
Hana to Alice: Satsujin Jiken,8
Hanako,6
Hanasakeru Seishounen,7
Hantsu x Trash,5
Harmonie,7
Hataraku Maou-sama!,8
Hataraku Saibou,8
Hataraku Saibou Black,8
Hatsukoi Monster,3
Heart no Kuni no Alice: Wonderful Wonder World,4
Heisei Tanuki Gassen Ponpoko,8
Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto,7
Higashi no Eden,7
Higashi no Eden Movie I: The King of Eden,6
Higashi no Eden Movie II: Paradise Lost,6
High Card,6
High Score Girl,7
High Score Girl II,7
High Score Girl: Extra Stage,7
High☆Speed! Movie: Free! Starting Days,7
Himegoto,2
Hinamatsuri (TV),8
Hinata no Aoshigure,7
Hirano to Kagiura,6
Hirune Hime: Shiranai Watashi no Monogatari,6
Hitorigurashi no Shougakusei,6
Hitorijime My Hero,6
Hiyokoi,6
Hiyokoi (2012),5
Honobono Log,7
Hoozuki no Reitetsu,9
Hoozuki no Reitetsu 2nd Season,9
Hoozuki no Reitetsu 2nd Season: Sono Ni,8
Hoozuki no Reitetsu OVA,8
Horimiya,5
Hotarubi no Mori e,10
Houkago Shounen Hanako-kun,7
Hourou Musuko,8
Houseki no Kuni,8
Housekishou Richard-shi no Nazo Kantei,6
Howl no Ugoku Shiro,9
Hyakushou Kizoku,7
Hybrid Child,7
Hyouka,7
Hyouka: Motsubeki Mono wa,6
Iblard Jikan,7
Ichiban Kuji Natsume Yuujinchou: Nyanko-sensei to Hana Shirabe,7
Id:Invaded,7
Ikoku Irokoi Romantan,4
Imawa no Kuni no Alice,8
"Inari, Konkon, Koi Iroha.",7
Inferno Cop,9
Inu to Neko Docchi mo Katteru to Mainichi Tanoshii,7
Inu x Boku SS,7
Inu x Boku SS: Miketsukami-kun Henka/Switch/Omamagoto,6
Inu-Ou,9
Inugami-san to Nekoyama-san,6
Inugami-san to Nekoyama-san: Nekoyama-san to Onsen Ryokou,6
Isekai Izakaya: Koto Aitheria no Izakaya Nobu,6
Isekai Shokudou,8
Isekai Shokudou 2,8
Isshuukan Friends.,8
Isshuukan Friends. Specials,6
Itou Junji: Collection,6
Itou Junji: Maniac,7
Itsudatte Bokura no Koi wa 10 cm Datta.,7
Jibaku Shounen Hanako-kun,8
Jigokuraku,7
Jijou wo Shiranai Tenkousei ga Guigui Kuru.,8
Jingai-san no Yome,7
Joker Game,8
Josee to Tora to Sakana-tachi,8
Jouran: The Princess of Snow and Blood,5
Jujutsu Kaisen,7
Jujutsu Kaisen 0 Movie,7
Jujutsu Kaisen 2nd Season,8
Junjou Romantica,4
Kageki Shoujo!!,9
Kaguya-hime no Monogatari,10
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8
Kaguya-sama wa Kokurasetai: Ultra Romantic,9
Kaguya-sama wa Kokurasetai: Ultra Romantic Teaser PV - Ishigami Yuu wa Kataritai,8
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,9
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen OVA,7
Kaiba,8
Kaichou wa Maid-sama!,8
Kaichou wa Maid-sama!: Goshujinsama to Asonjao♥,6
Kaijuu no Kodomo,9
Kaitou Queen wa Circus ga Osuki,7
Kakegurui,7
Kakegurui Twin,6
Kakegurui××,6
Kakurenbo,7
Kakuriyo no Yadomeshi,7
Kakushigoto,8
Kakushigoto Movie,7
Kamigami no Asobi,5
Kamisama Hajimemashita,7
Kamisama Hajimemashita OVA,7
Kamisama Hajimemashita: Kako-hen,9
"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru",6
Kamisama Hajimemashita◎,8
