Cowboy Bebop,10
Ergo Proxy,10
Hourou Musuko,9.1
Azumanga Daiou THE ANIMATION,9
Danshi Koukousei no Nichijou,9
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,9
Kimi ni Todoke,9
Kimi ni Todoke 2ND SEASON,9
Kimi wa Houkago Insomnia,9
MEMORIES,9
NANA,9
NHK ni Youkoso!,9
Violet Evergarden,9
Yamada-kun to Lv999 no Koi wo Suru,9
Chobits,8.8
Demi-chan wa Kataritai,8.8
Kaguya-sama wa Kokurasetai?: Tensaitachi no Renai Zunousen,8.8
Wotaku ni Koi wa Muzukashii,8.8
Yakusoku no Neverland,8.8
Chihayafuru 2,8.7
Death Parade,8.7
Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen,8.7
Kaguya-sama wa Kokurasetai: Ultra Romantic,8.7
Kimetsu no Yaiba: Yuukaku-hen,8.7
Shiguang Dailiren,8.7
SPY×FAMILY,8.6
Chihayafuru,8.5
Idol,8.5
Paripi Koumei,8.5
Yuuri!!! on ICE,8.5
Buddy Daddies,8.4
Gakuen Babysitters OVA,8.4
serial experiments lain,8.4
Pocket Monsters: THE ORIGIN,8.3
Samurai Champloo,8.3
Shadows House,8.3
3-gatsu no Lion,8.2
Gake no Ue no Ponyo,8.2
Gakuen Babysitters,8.2
Kimi no Na wa.,8.2
Tsurezure Children,8.2
Zombie Land Saga,8.2
Zombie Land Saga: Revenge,8.2
Asobi Asobase,8.1
Aggressive Retsuko,8
Aggressive Retsuko Season 2,8
Aggressive Retsuko Season 3,8
Aho-Girl,8
Amaama to Inazuma,8
Blend S,8
Colorful,8
DEATH NOTE,8
"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",8
Given,8
Hataraku Maou-sama!,8
Kaiba,8
Kaze Tachinu,8
Kiseijuu: Sei no Kakuritsu,8
"Komi-san wa, Komyushou desu.",8
Kono Subarashii Sekai ni Shukufuku wo! 2,8
Mieruko-chan,8
Nami yo Kiitekure,8
Odd Taxi,8
Romantic Killer,8
Skip to Loafer,8
SPY×FAMILY Part 2,8
SPY×FAMILY Season 2,8
Yubisaki to Renren,8
Higurashi no Naku Koro ni,7.9
Kill la Kill,7.9
Net-juu no Susume,7.9
Go-toubun no Hanayome Movie,7.8
Go-toubun no Hanayome ∬,7.8
Isshuukan Friends.,7.8
Bishoujo Senshi Sailor Moon,7.7
BNA,7.7
Grand Blue,7.7
Howl no Ugoku Shiro,7.7
Kono Subarashii Sekai ni Shukufuku wo!,7.7
Tian Guan Ci Fu,7.6
Baka to Test to Shoukanjuu,7.5
Go-toubun no Hanayome,7.5
ID: INVADED,7.5
Kaichou wa Maid-sama!,7.5
Kimetsu no Yaiba: Katanakaji no Sato-hen,7.5
Kimi no Koto ga Dai Dai Dai Dai Daisuki na 100-nin no Kanojo,7.5
Non Non Biyori,7.5
Sono Bisque Doll wa Koi wo Suru,7.5
Yuru Camp△,7.5
D-Frag!,7.4
Eikoku Koi Monogatari Emma,7.4
Karigurashi no Arrietty,7.4
Aggressive Retsuko: We Wish You A Metal Christmas,7.3
Chainsaw Man,7.3
Eizouken ni wa Te wo Dasu na!,7.3
Hanamaru Youchien,7.3
Kimetsu no Yaiba: Mugen Ressha-hen (TV),7.3
Kotonoha no Niwa,7.3
Nichijou,7.3
Shadows House 2nd Season,7.3
Boku dake ga Inai Machi,7.2
Gakkou Gurashi!,7.2
GOLDEN BOY: Sasurai no Obenkyou Yarou,7.2
Sakura Quest,7.2
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,7
Ao Haru Ride,7
BEASTARS,7
Bocchi the Rock!,7
Boku ga Aishita Subete no Kimi e,7
Boku no Kokoro no Yabai Yatsu,7
Dosanko Gal wa Namara Menkoi,7
Gakkou no Kaidan,7
Karakai Jouzu no Takagi-san 2,7
Kimetsu no Yaiba,7
Kusuriya no Hitorigoto,7
LOVE STAGE!!,7
Saiki Kusuo no Ψ-nan 2,7
Seitokai Yakuindomo,7
Sen to Chihiro no Kamikakushi,7
Shingeki no Kyojin,7
Shingeki no Kyojin 2,7
Tonikaku Kawaii,7
Tsuki ga Kirei,7
Zom 100: Zombie ni Naru Made ni Shitai 100 no Koto,7
Another,6.9
Tonari no Seki-kun,6.7
Bakemonogatari,6.5
Kawaii dake ja Nai Shikimori-san,6.5
Tonikaku Kawaii Season 2,6.5
Watashi no Shiawase na Kekkon,6.5
Dead Leaves,6.2
91Days,6
Aharen-san wa Hakarenai,6
Kimagure Orange☆Road,6
Lycoris Recoil,6
Mahou Shoujo Madoka☆Magica,6
Tenki no Ko,6
Yahari Ore no Seishun Love Come wa Machigatteiru. Kan,6
Kimagure Orange☆Road: Ano Hi ni Kaeritai,5.7
Hitoribocchi no ○○ Seikatsu,5.5
Seitokai Yakuindomo＊,5.5
Suzumiya Haruhi no Yuuutsu (2009),5.5
Chuunibyou demo Koi ga Shitai!,5.3
Angel Beats!,5
Hataraku Maou-sama!!,5
"Keikenzumi na Kimi to, Keiken Zero na Ore ga, Otsukiai suru Hanashi.",5
Senpai ga Uzai Kouhai no Hanashi,5
Uchi no Kaisha no Chiisai Senpai no Hanashi,5
Code Geass: Hangyaku no Lelouch,4.5
Yoru wa Mijikashi Arukeyo Otome,4.5
Suki na Ko ga Megane wo Wasureta,3.5
"Kanojo, Okarishimasu",2
Eromanga Sensei,1.2
Anitore! EX,1
Anitore! XX: Hitotsu Yane no Shita de,1

