Baccano!,10
BECK,10
Gin no Saji,10
Gin no Saji 2,10
Ishuzoku Reviewers,10
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,10
Kingdom 4th Season,10
RahXephon,10
Kusuriya no Hitorigoto,9.8
Sousou no Frieren,9.8
Boku no Kokoro no Yabai Yatsu 2nd Season,9.6
86: Eighty Six,9.5
Demi-chan wa Kataritai,9.5
Nejimaki Seirei Senki: Tenkyou no Alderamin,9.5
Tensei Shitara Slime Datta Ken,9.4
Dance in the Vampire Bund,9.3
Kingdom 3rd Season,9.3
Koukyoushihen Eureka Seven,9.3
Mahoutsukai no Yome,9.3
Dark Gathering,9.2
Dungeon Meshi,9.1
Kekkai Sensen,9
Yahari Ore no Seishun Love Come wa Machigatteiru. Zoku,9
Bungou Stray Dogs 4th Season,8.8
Dr. STONE: NEW WORLD Part 2,8.8
Guilty Crown,8.8
Kekkai Sensen & BEYOND,8.8
World Trigger 2nd Season,8.8
BLEACH: Sennen Kessen-hen,8.7
DARKER THAN BLACK: Kuro no Keiyakusha,8.7
Genshiken,8.7
Mahouka Koukou no Rettousei,8.7
Mononogatari,8.7
Odd Taxi,8.7
Tsuki ga Michibiku Isekai Douchuu,8.7
Yofukashi no Uta,8.7
"Benriya Saitou-san, Isekai ni Iku",8.6
"GATE: Jieitai Kanochi nite, Kaku Tatakaeri",8.6
"GATE: Jieitai Kanochi nite, Kaku Tatakaeri 2",8.6
Genshiken 2,8.6
Kingdom 2nd Season,8.6
Mahoutsukai no Yome SEASON 2 Part 2,8.6
Mushoku Tensei: Isekai Ittara Honki Dasu,8.6
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.6
Arknights: Reimei Zensou,8.5
Bocchi the Rock!,8.5
Bungou Stray Dogs 5th Season,8.5
Dimension W,8.5
Mahoutsukai no Yome SEASON 2,8.5
Shadows House,8.5
World Trigger 3rd Season,8.5
Akagami no Shirayuki-hime,8.4
Lv1 Maou to One Room Yuusha,8.4
Overlord IV,8.4
Yahari Ore no Seishun Love Come wa Machigatteiru.,8.4
BLEACH: Sennen Kessen-hen - Ketsubetsu-tan,8.3
Dr. STONE,8.3
Dr. STONE: STONE WARS,8.3
Kingdom,8.3
Shadows House 2nd Season,8.1
Akatsuki no Yona,8
Arknights: Touin Kiro,8
Boku no Kokoro no Yabai Yatsu,8
Mononogatari 2nd Season,8
SPY×FAMILY,8
Bungou Stray Dogs 3rd Season,7.9
Dr. STONE: NEW WORLD,7.9
Kaguya-sama wa Kokurasetai: Ultra Romantic,7.9
Meikyuu Black Company,7.9
Senpai ga Uzai Kouhai no Hanashi,7.9
Jormungand,7.8
Kage no Jitsuryokusha ni Naritakute!,7.8
Mou Ippon!,7.8
Tales of Zestiria the Cross,7.8
Undead Unluck,7.8
Zetman,7.8
Bungou Stray Dogs,7.7
Bungou Stray Dogs 2nd Season,7.7
Mayo Chiki!,7.7
Musaigen no Phantom World,7.7
PSYCHO-PASS,7.7
Ao no Exorcist: Kyoto Fujouou-hen,7.6
Shangri-La Frontier,7.5
Oroka na Tenshi wa Akuma to Odoru,7.4
SPY×FAMILY Part 2,7.4
Jormungand: PERFECT ORDER,7.3
Kimi wa Houkago Insomnia,7.3
Spy Kyoushitsu,7.3
Spy Kyoushitsu 2nd season,7.3
Hyouka,7.2
Skip to Loafer,7.2
Kage no Jitsuryokusha ni Naritakute! 2nd season,7.1
Noein: Mou Hitori no Kimi e,7.1
PSYCHO-PASS 2,7.1
100-man no Inochi no Ue ni Ore wa Tatteiru,7
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou Meikyuu-hen,7
Horimiya,7
Radiant,7
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,7
Ao no Exorcist,6.9
Durarara!!,6.9
Kyoukaisenjou no Horizon,6.9
Majo to Yajuu,6.9
Akiba Meido Sensou,6.8
Mahou Shoujo ni Akogarete,6.8
SPY×FAMILY Season 2,6.8
Wolf's Rain,6.8
Zom 100: Zombie ni Naru Made ni Shitai 100 no Koto,6.8
"Fuufu Ijou, Koibito Miman.",6.7
Mahouka Koukou no Rettousei: Raihousha-hen,6.7
Mushoku Tensei II: Isekai Ittara Honki Dasu,6.7
Renai Boukun,6.7
Aquarion EVOL,6.6
"Isekai de Cheat Skill wo Te ni Shita Ore wa, Genjitsu Sekai wo mo Musou Suru: Level Up wa Jinsei wo Kaeta",6.6
Kidou Senshi Gundam: Suisei no Majo Season 2,6.6
Durarara!!x2 Ten,6.5
Kanojo ga Koushaku-tei ni Itta Riyuu,6.5
Shiro Seijo to Kuro Bokushi,6.5
Blue Lock,6.4
Busou Renkin,6.4
Jujutsu Kaisen 2nd Season,6.4
Chainsaw Man,6.3
Deca-Dence,6.3
Durarara!!x2 Shou,6.3
Engage Kiss,6.3
Goblin Slayer II,6.3
Isekai Yakkyoku,6.3
Tomo-chan wa Onnanoko!,6.3
Boku no Hero Academia 6,6.2
Maken-Ki!,6.2
Ore dake Level Up na Ken,6.2
Tondemo Skill de Isekai Hourou Meshi,6.2
Yuragi-sou no Yuuna-san,6.2
100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,6.1
Dead Mount Death Play,6.1
Kumichou Musume to Sewagakari,6.1
Isekai Meikyuu de Harem wo,6
Kimi ni Todoke,6
Koukyuu no Karasu,6
Druaga no Tou: the Aegis of URUK,5.9
Futoku no Guild,5.9
Isekai Nonbiri Nouka,5.9
Kamisama ni Natta Hi,5.9
MASHLE,5.9
Tengoku Daimakyou,5.9
Tokyo Majin Gakuen Kenpucho: Tou,5.9
4-nin wa Sorezore Uso wo Tsuku,5.8
Dead Mount Death Play Part 2,5.8
Log Horizon: Entaku Houkai,5.8
Niehime to Kemono no Ou,5.7
"Sentouin, Hakenshimasu!",5.7
Dragon Quest: Dai no Daibouken (2020),5.6
Kurau Phantom Memory,5.6
Mato Seihei no Slave,5.6
Meiji Gekken: 1874,5.6
REVENGER,5.6
Tate no Yuusha no Nariagari Season 3,5.6
Ars no Kyojuu,5.5
Kimi ni Todoke 2ND SEASON,5.5
Ragna Crimson,5.5
Shinobi no Ittoki,5.5
SHY,5.5
Edomae Elf,5.4
Kakkou no Iinazuke,5.4
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",5.3
Megami no Café Terrace,5.3
Soredemo Ayumu wa Yosetekuru,5.3
TRIGUN STAMPEDE,5.3
Renai Flops,5.2
Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari,5.2
Do It Yourself!!,5.1
Sasaki to Pii-chan,5
Tokyo Majin Gakuen Kenpucho: Tou Dai Ni Maku,5
Kekkon Yubiwa Monogatari,4.8
Koori Zokusei Danshi to Cool na Douryou Joshi,4.8
Nokemono-tachi no Yoru,4.8
Otomege Sekai wa Mob ni Kibishii Sekai desu,4.8
Temple,4.8
"Tensei Shitara Dai Nana Ouji Dattanode, Kimamani Majutsu wo Kiwamemasu",4.8
Urusei Yatsura (2022),4.8
Yuusha ga Shinda!,4.7
"Hachi-nan tte, Sore wa Nai deshou!",4.6
Hataraku Maou-sama!!,4.6
Jii-san Baa-san Wakagaeru,4.6
Kaminaki Sekai no Kamisama Katsudou,4.5
Mamahaha no Tsurego ga Motokano datta,4.5
Isekai One Turn Kill Nee-san: Ane Douhan no Isekai Seikatsu Hajimemashita,4.4
Jijou wo Shiranai Tenkousei ga Guigui Kuru.,4.4
Kikansha no Mahou wa Tokubetsu desu,4.4
Ao no Orchestra,4.3
Hoshi no Samidare,4.3
Nanatsu no Taizai: Mokushiroku no Yonkishi,4.3
Suki na Ko ga Megane wo Wasureta,4.3
Hiiro no Kakera,4.2
Yubisaki to Renren,4.2
Boushoku no Berserk,4.1
Kawaii dake ja Nai Shikimori-san,4.1
Tensei Kizoku no Isekai Boukenroku: Jichou wo Shiranai Kamigami no Shito,4.1
Watashi no Shiawase na Kekkon,4.1
BUCCHIGIRI?!,4
Kubo-san wa Mob wo Yurusanai,4
"Maou-sama, Retry!",4
AI no Idenshi,3.8
Saikyou Onmyouji no Isekai Tenseiki,3.7
Hortensia Saga,3.6
Eiyuu Kyoushitsu,3.5
Re:Monster,3.5
Shinmai Renkinjutsushi no Tenpo Keiei,3.3
Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2,3.2
"Tensei Kenja no Isekai Life: Daini no Shokugyo wo Ete, Sekai Saikyou ni Narimashita",3.1
Tonikaku Kawaii Season 2,3
Hiiro no Kakera Dai Ni Shou,2.9
Nanatsu no Maken ga Shihai Suru,2.9
Isekai Shoukan wa Nidome desu,2.8
Noumin Kanren no Skill Bakka Agetetara Naze ka Tsuyoku Natta.,2.8
Bucchigire!,2.7
Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω,2.7
MASHLE: Kami Shinkakusha Kouho Senbatsu Shiken-hen,2.6
Saihate no Paladin,2.6
Liar Liar,2.5
Hametsu no Oukoku,2.3
Otonari ni Ginga,2.3
"Yuusha Party wo Tsuihou Sareta Beast Tamer, Saikyoushu no Nekomimi Shoujo to Deau",2.3
Boukensha ni Naritai to Miyako ni Deteitta Musume ga S Rank ni Natteta,2.2
"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen",2.2
"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni shimashita 2nd",2.2
Momochi-san Chi no Ayakashi Ouji,1.6
"Shijou Saikyou no Daimaou, Murabito A ni Tensei suru",1.6
"Saikyou Tank no Meikyuu Kouryaku: Tairyoku 9999 no Rare Skill-mochi Tank, Yuusha Party wo Tsuihou Sareru",1.5
Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life,1
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,0.8
Hyouken no Majutsushi ga Sekai wo Suberu,0.6
