Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,10
Kaguya-sama wa Kokurasetai: Ultra Romantic,10
Kaguya-sama wa Kokurasetai?: Tensaitachi no Renai Zunousen,10
Kill la Kill,10
Kill la Kill Tokubetsu-hen,10
Mahou Shoujo Madoka☆Magica,10
Mahou Shoujo Madoka☆Magica: Hangyaku no Monogatari,10
PERFECT BLUE,10
Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen,9.5
Mob Psycho 100 II,9.5
Shingeki no Kyojin: The Final Season - Kanketsu-hen Kouhen,9.5
Shoujo Shuumatsu Ryokou,9.5
Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST,9
Shingeki no Kyojin: The Final Season,9
Stranger: Mukou Hadan,9
Mob Psycho 100,8.5
Mob Psycho 100 III,8.5
Shingeki no Kyojin: The Final Season - Kanketsu-hen Zenpen,8.5
Shingeki no Kyojin: The Final Season Part 2,8.5
Tengen Toppa Gurren Lagann,8.5
Yakusoku no Neverland,8.5
Cyberpunk: Edgerunners,8
Death Parade,8
Kobayashi-san Chi no Maidragon,8
Kobayashi-san Chi no Maidragon S,8
Odd Taxi,8
Bakemonogatari,7.5
Ergo Proxy,7.5
ID: INVADED,7.5
Shingeki no Kyojin 2,7.5
Angel Beats!,7
Angel Beats!: Another Epilogue,7
BANANA FISH,7
Chuunibyou demo Koi ga Shitai!,7
Chuunibyou demo Koi ga Shitai!: Kirameki no… Slapstick Noel,7
Death Billiards,7
Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST Mihousou Episode,7
Monogatari Series: Second Season,7
planetarian: Hoshi no Hito,7
Shingeki no Kyojin,7
Charlotte,6.5
Shingeki no Kyojin 3,6.5
Fate/stay night [Heaven's Feel] I. presage flower,6
Mob Psycho 100: Daiikkai Rei toka Soudansho Ian Ryokou - Kokoro Mitasu Iyashi no Tabi,6
PSYCHO-PASS,6
Shingeki no Kyojin Gaiden: Kuinaki Sentaku,6
Steins;Gate,6
DEVILMAN crybaby,5.5
Kyousougiga (TV),5.5
Owarimonogatari (Ge),5.5
Steins;Gate 0,5.5
Toki wo Kakeru Shoujo,5.5
"Ijiranaide, Nagatoro-san",5
Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen OVA,5
Kobayashi-san Chi no Maidragon S: Nippon no Omotenashi (Attend wa Dragon desu),5
"Kobayashi-san Chi no Maidragon: Valentine, Soshite Onsen! (Amari Kitai Shinaide Kudasai)",5
Shingeki no Kyojin 3 Part 2,5
Zoku Owarimonogatari,5
Asobi Asobase,4.5
Fate/stay night [Heaven's Feel] II. lost butterfly,4.5
Fate/stay night: Unlimited Blade Works 2nd Season,4.5
Nisemonogatari,4.5
Occultic;Nine,4.5
PLUTO,4.5
Fate/stay night [Heaven's Feel] III. spring song,4
Fate/stay night: Unlimited Blade Works,4
Final Fantasy VII: Advent Children Complete,4
Kizumonogatari III: Reiketsu-hen,4
Little Busters!: Refrain,4
SPY×FAMILY,4
Little Busters!,3.5
Owarimonogatari,3.5
planetarian: Snow Globe,3
Tsukimonogatari,3
Hanamonogatari,2.5
Steins;Gate: Fuka Ryouiki no Déjà vu,2.5
Kizumonogatari II: Nekketsu-hen,2
Nekomonogatari (Kuro),2
Shin Seiki Evangelion,2
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei - The Animation,1.5
Kizumonogatari I: Tekketsu-hen,1.5
Koyomimonogatari,1.5
Fate/stay night,1
Sword Art Online,1
Code Geass: Hangyaku no Lelouch,4.5
Kyoukai no Kanata,4.5
RAINBOW: Nisha Rokubou no Shichinin,4.5
Yuu☆Yuu☆Hakusho,4.5
Zetsuen no Tempest,4.5
GOSICK,4
Koukyoushihen Eureka Seven,4
Lupin III: Cagliostro no Shiro,4
Hagane no Renkinjutsushi,3.5
Shoujo Kakumei Utena,3.5
Vivy: Fluorite Eye’s Song,3.5
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden,3
serial experiments lain,3
Shakugan no Shana,3
Versailles no Bara,3
Chuunibyou demo Koi ga Shitai! Ren,2.5
Darling in the Franxx,2.5
"Komi-san wa, Komyushou desu.",2.5
Senki Zesshou Symphogear,2.5
Yahari Ore no Seishun Love Come wa Machigatteiru.,2.5
Guilty Crown,2
Katanagatari,2
Re:CREATORS,2
DARKER THAN BLACK: Kuro no Keiyakusha,1.5
Fruits Basket: 1st Season,1
Kara no Kyoukai: Mujun Rasen,1
Kimetsu no Yaiba,1
RELEASE THE SPYCE,1
ReLIFE,1
Tenshi no Tamago,1
Yakusoku no Neverland 2,1
