Yu☆Gi☆Oh! Duel Monsters,10
Basilisk: Kouga Ninpouchou,9
Kimagure Orange☆Road,9
Peter Pan no Bouken,9
Tonikaku Kawaii Season 2,9
Bouken Ou Beet,8
"Dakara Boku wa, H ga Dekinai.",8
Dragon Quest: Dai no Daibouken,8
Ghost Sweeper Mikami,8
Ishura,8
Juubei-chan: Lovely Gantai no Himitsu,8
Ramayana: Rama Ouji Densetsu,8
Ranma 1/2: Nettou-hen,8
Slayers Special,8
Watashi no Shiawase na Kekkon,8
Zom 100: Zombie ni Naru Made ni Shitai 100 no Koto,8
"Ima, Soko ni Iru Boku",7
Ore Monogatari!!,7
Rurouni Kenshin: Meiji Kenkaku Romantan,7
SPY×FAMILY,7
Date A Live,6
PSYCHO-PASS,6
RAINBOW: Nisha Rokubou no Shichinin,6
Soredemo Sekai wa Utsukushii,6
Aoi Bungaku Series,5
xxxHOLiC,5
NARUTO,10
MÄR,9
Suzumiya Haruhi no Yuuutsu,8
B Gata H Kei,10
Bishoujo Senshi Sailor Moon,10
Bishoujo Senshi Sailor Moon S,10
Bishoujo Senshi Sailor Moon: Eternal - Kouhen,10
FAIRY TAIL,10
FAIRY TAIL (2014),10
Full Moon wo Sagashite,10
Inuyasha,10
Inuyasha: Tenka Hadou no Ken,10
Kekkaishi,10
Kimetsu no Yaiba: Mugen Ressha-hen,10
Kimetsu no Yaiba: Mugen Ressha-hen (TV),10
Kimetsu no Yaiba: Yuukaku-hen,10
Kimi no Suizou wo Tabetai,10
Kimikiss pure rouge,10
NARUTO SD Rock Lee no Seishun Full-Power Ninden,10
NARUTO: Dai Koufun! Mikazukijima no Animal Panic Dattebayo!,10
"Natsu e no Tunnel, Sayonara no Deguchi",10
orange,10
Pocket Monsters Advanced Generation: Mew to Hadou no Yuusha Lucario,10
Pocket Monsters: Kesshoutou no Teiou ENTEI,10
Pocket Monsters: Mewtwo no Gyakushuu,10
Rosario to Vampire,10
Rosario to Vampire Capu2,10
Shakugan no Shana Movie,10
Slayers,10
Slayers Great,10
Slayers NEXT,10
Slayers TRY,10
Taiyou no Ouji: Horus no Daibouken,10
Tales of Zestiria the Cross 2,10
Tenkuu no Shiro Laputa,10
Tonikaku Kawaii: SNS,10
Tsubasa Chronicle,10
Tsukasa's♪Kitchen,10
Yume de Aetara,10
Akatsuki no Yona OVA,9
Amagami SS+ plus,9
Amagami SS+ plus Specials,9
Amagami SS: Imouto,9
Angel Beats!,9
Bishoujo Senshi Sailor Moon R,9
Bishoujo Senshi Sailor Moon R: THE MOVIE,9
Bishoujo Senshi Sailor Moon SuperS,9
Bishoujo Senshi Sailor Moon: Eternal - Zenpen,9
Boku ga Aishita Subete no Kimi e,9
Break Blade 1: Kakusei no Toki,9
Chikyuu Shoujo Arjuna,9
Cider no You ni Kotoba ga Wakiagaru,9
Dragon Quest: Dai no Daibouken (2020),9
DT Eightron,9
EDENS ZERO,9
FAIRY TAIL: Houou no Miko - Hajimari no Asa,9
Fate/stay night: Unlimited Blade Works 2nd Season - sunny day,9
Fate/Zero,9
Fate/Zero 2nd Season,9
GOLDEN BOY: Sasurai no Obenkyou Yarou,9
Hai to Gensou no Grimgar,9
Hige wo Soru. Soshite Joshikousei wo Hirou.,9
Hotaru no Haka,9
Inuyasha: Kagami no Naka no Mugenjo,9
Inuyasha: Kanketsu-hen,9
Inuyasha: Toki wo Koeru Omoi,9
Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,9
K: MISSING KINGS,9
Kaizoku Oujo,9
"Kanojo, Okarishimasu 2nd Season",9
"Kanojo, Okarishimasu 3rd Season",9
Kaze no Stigma,9
Kimetsu no Yaiba,9
Kimi wo Aishita Hitori no Boku e,9
Koe de Oshigoto!: The ANIMATION,9
Kono Subarashii Sekai ni Shukufuku wo!,9
Kono Subarashii Sekai ni Shukufuku wo! 2,9
Kotonoha no Niwa,9
Magic Tree House,9
Majo no Takkyuubin,9
Mamahaha no Tsurego ga Motokano datta,9
Miru Tights,9
NARUTO: Dai Katsugeki! Yuki Hime Ninpouchou Dattebayo!!,9
