Magia Record: Mahou Shoujo Madoka☆Magica Gaiden,100
Boku no Kokoro no Yabai Yatsu,97
Yuru Camp△,93
Hibike! Euphonium 2,92
Monogatari Series: Second Season,91
Nisekoi,91
Mahou Shoujo Madoka☆Magica,90
K-ON!!,89
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden 2nd SEASON - Kakusei Zenya,89
Hibike! Euphonium,88
Yuru Camp△ SEASON 2,88
Bakemonogatari,85
Shingeki no Kyojin 2,85
Shingeki no Kyojin 3 Part 2,85
Tamako Market,85
Akebi-chan no Sailor Fuku,84
Nisekoi:,84
Shingeki no Kyojin,84
Nisemonogatari,81
Owarimonogatari (Ge),81
NEW GAME!,78
Boku no Kokoro no Yabai Yatsu 2nd Season,77
Sakurasou no Pet na Kanojo,76
Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen,75
Shingeki no Kyojin 3,75
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,72
Tamayura: More Aggressive,72
Watashi ni Tenshi ga Maiorita!,72
3-gatsu no Lion 2,71
Bokutachi wa Benkyou ga Dekinai,71
Darling in the Franxx,71
Kobayashi-san Chi no Maidragon,71
Kusuriya no Hitorigoto,71
Princess Connect! Re:Dive Season 2,71
Shiguang Dailiren,71
Sousou no Frieren,71
Sword Art Online,71
Tamayura: hitotose,71
Tensei Oujo to Tensai Reijou no Mahou Kakumei,71
K-ON!,70
Kantai Collection: KanColle,70
Steins;Gate,69
Happy Sugar Life,68
Musaigen no Phantom World,68
VINLAND SAGA,68
NEW GAME!!,66
Bokutachi wa Benkyou ga Dekinai!,65
Go-toubun no Hanayome,65
Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST,65
Imouto sae Ireba Ii.,65
Kobayashi-san Chi no Maidragon S,65
Lucky☆Star,65
Nekomonogatari (Kuro),65
One Punch Man 2,65
Ore no Imouto ga Konna ni Kawaii Wake ga Nai.,65
Owarimonogatari,65
Princess Connect! Re:Dive,65
Toradora!,65
Yahari Ore no Seishun Love Come wa Machigatteiru.,65
Adachi to Shimamura,62
Eromanga Sensei,62
Gekkan Shoujo Nozaki-kun,62
Gochuumon wa Usagi desu ka?,62
Koyomimonogatari,62
Kubikiri Cycle: Aoiro Savant to Zaregotozukai,62
Lycoris Recoil,62
Non Non Biyori,62
One Punch Man,62
Onii-chan wa Oshimai!,62
Ore no Imouto ga Konna ni Kawaii Wake ga Nai,62
PSYCHO-PASS,62
Shigatsu wa Kimi no Uso,62
Shiguang Dailiren II,62
Sono Bisque Doll wa Koi wo Suru,62
Sora yori mo Tooi Basho,62
THE IDOLM@STER,62
Tomo-chan wa Onnanoko!,62
Tsukimonogatari,62
Yagate Kimi ni Naru,62
Yahari Ore no Seishun Love Come wa Machigatteiru. Zoku,62
Yama no Susume: Third Season,62
Yuru Yuri San☆Hai!,62
Yuru Yuri♪♪,62
THE iDOLM@STER Cinderella Girls: U149,61
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden Final SEASON - Asaki Yume no Akatsuki,60
Kimetsu no Yaiba,59
Koufuku Graffiti,59
Mushishi Zoku Shou 2,59
Noragami,59
Tanaka-kun wa Itsumo Kedaruge,59
[Oshi no Ko],58
DEATH NOTE,58
Denpa Onna to Seishun Otoko,58
Dumbbell Nan Kilo Moteru?,58
Gabriel Dropout,58
Himouto! Umaru-chan,58
Himouto! Umaru-chan R,58
Hyouka,58
Kiniro Mosaic,58
Love Lab,58
Re:Zero kara Hajimeru Isekai Seikatsu,58
Saiki Kusuo no Ψ-nan 2,58
Sewayaki Kitsune no Senko-san,58
Shingeki no Kyojin: The Final Season,58
Shiro Seijo to Kuro Bokushi,58
Steins;Gate 0,58
Yahari Ore no Seishun Love Come wa Machigatteiru. Kan,58
3-gatsu no Lion,57
Go-toubun no Hanayome ∬,57
Gochuumon wa Usagi desu ka??,57
Hanamonogatari,57
Myself ; Yourself,57
Tsurezure Children,57
Yama no Susume: Next Summit,57
Yama no Susume: Second Season,57
Yuru Yuri,57
Kimetsu no Yaiba: Yuukaku-hen,55
Gochuumon wa Usagi desu ka? BLOOM,53
Tamayura,53
Yama no Susume,53
Angel Beats!,52
Bishounen Tanteidan,52
Bocchi the Rock!,52
Boku dake ga Inai Machi,52
Chuunibyou demo Koi ga Shitai!,52
Comic Girls,52
Death Parade,52
Fate/stay night: Unlimited Blade Works,52
Fate/stay night: Unlimited Blade Works 2nd Season,52
GJ-bu,52
Grisaia no Kajitsu,52
Kaguya-sama wa Kokurasetai: Ultra Romantic,52
Kaguya-sama wa Kokurasetai?: Tensaitachi no Renai Zunousen,52
Karakai Jouzu no Takagi-san,52
Karakai Jouzu no Takagi-san 2,52
Karakai Jouzu no Takagi-san 3,52
Kiznaiver,52
Little Witch Academia (TV),52
Machikado Mazoku,52
Mushishi Zoku Shou,52
Non Non Biyori: Nonstop,52
Non Non Biyori: Repeat,52
Noragami ARAGOTO,52
Rokudenashi Majutsu Koushi to Akashic Records,52
Saenai Heroine no Sodatekata,52
Saiki Kusuo no Ψ-nan,52
SPY×FAMILY,52
SPY×FAMILY Part 2,52
Tokyo Ghoul,52
Urara Meirochou,52
86: Eighty Six,49
Amagi Brilliant Park,49
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,49
Domestic na Kanojo,49
Gi(a)rlish Number,49
GOSICK,49
IDOLY PRIDE,49
Jigokuraku,49
Kakushigoto,49
Kannagi,49
Kono Subarashii Sekai ni Shukufuku wo!,49
Kyoukai no Kanata,49
Majo no Tabitabi,49
Mushishi,49
No Game No Life,49
Sakura Quest,49
SHIROBAKO,49
Skip to Loafer,49
Slow Start,49
SPY×FAMILY Season 2,49
Sword Art Online II,49
VINLAND SAGA SEASON 2,49
Violet Evergarden,49
Black Bullet,46
Saenai Heroine no Sodatekata ♭,46
true tears,46
Fate/Zero 2nd Season,45
"Kanojo, Okarishimasu",45
Kono Subarashii Sekai ni Shukufuku wo! 2,45
Made in Abyss,45
Mikakunin de Shinkoukei,45
Nekopara,45
PSYCHO-PASS 2,45
Sankarea,45
THE IDOLM@STER Cinderella Girls,45
Yofukashi no Uta,45
Sasami-san@Ganbaranai,42
BLOOD+,39
CLANNAD,39
Hitoribocchi no ○○ Seikatsu,39
Horimiya,39
Jahy-sama wa Kujikenai!,39
KanColle: Itsuka Ano Umi de,39
Mamahaha no Tsurego ga Motokano datta,39
Manaria Friends,39
Mob Psycho 100,39
One Room,39
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,39
SELECTION PROJECT,39
Toaru Kagaku no Railgun,39
Tokyo Revengers,39
Yesterday wo Utatte,39
Fate/Zero,36
Fruits Basket: 1st Season,36
Grisaia no Rakuen,36
Jujutsu Kaisen,36
Love Live! School idol project,36
Masamune-kun no Revenge,36
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,36
ReLIFE,36
Shiroi Suna no Aquatope,36
Sword Art Online: Alicization,36
Kill la Kill,32
Konohana Kitan,32
Ore no Kanojo to Osananajimi ga Shuraba Sugiru,32
Sword Art Online: Alicization - War of Underworld,32
Sword Art Online: Alicization - War of Underworld Part 2,32
Tokyo Ghoul √A,32
16bit Sensation: ANOTHER LAYER,26
Hanayamata,26
Tsuki ga Kirei,26
citrus,23
Tokyo Revengers: Seiya Kessen-hen,23
