"Oshi no Ko", tags: Isekai, Idol
5-toubun no Hanayome, tags: 
5-toubun no Hanayome ∬, tags: 
Akiba Meido Sensou, tags: Maids
Blend S, tags: 
Bocchi the Rock!, tags: 
Boku no Hero Academia, Name: My Hero Academia, tags: 
Boku no Hero Academia 2nd Season, tags: 
Chihayafuru, tags: Drama
Chuunibyou demo Koi ga Shitai!, tags: Romance, Chuunibyou
Coquelicot-zaka kara, tags: Movie, Romance
Cyberpunk: Edgerunners, tags: 
Dosanko Gal wa Namara Menkoi, tags: Gyaru, Romance
Fruits Basket (2001), Name: Fruits Basket, tags: Drama, Zodiac, Romance, Shojo
フルーツバスケット 1st Season, Name: Fruits Basket 1st Season, Name: Fruits Basket (2019), tags: Drama, Zodiac, Romance, Shojo
Fruits Basket 2nd Season, tags: Drama, Zodiac, Romance, Shojo
Fruits Basket: Prelude, tags: Movie, Shojo, Romance, Drama, Zodiac
Fruits Basket: The Final, tags: Drama, Zodiac, Romance, Shojo
Haikyuu!!, tags: Sports
Hataraku Maou-sama!, tags: 
Horimiya, tags: Romance
Horimiya: Piece, tags: Romance
Hotarubi no Mori e, tags: Movie
Houkago Saikoro Club, tags: Board games
Houkago Shounen Hanako-kun, tags: 
Idol, tags: 
"Ijiranaide, Nagatoro-san", Name: Nagatoro, Name: "Ijiranaide Nagatoro-san", tags: Romance
"Ijiranaide Nagatoro-san 2nd Attack", tags: 
Jibaku Shounen Hanako-kun, tags: 
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen, Name: Kaguya Sama, Name: Love is War, tags: Romance
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen, tags: 
Kaichou wa Maid-sama!, Name: Maid-sama, tags: Shojo, Romance, Maids
Kamisama Hajimemashita, tags: 
Kamisama Hajimemashita: Kako-hen, tags: 
Kamisama Hajimemashita◎, tags: 
Kanojo mo Kanojo, tags: 
Kanojo mo Kanojo Season 2, tags: 
"Kanojo Okarishimasu", tags: 
"Keikenzumi na Kimi to Keiken Zero na Ore ga Otsukiai suru Hanashi.", tags: 
Kidou Senshi Gundam: Suisei no Majo, tags: 
Kidou Senshi Gundam: Suisei no Majo - Prologue, tags: 
Kidou Senshi Gundam: Suisei no Majo Season 2, tags: 
Kimi ni Todoke, tags: 
Kimi ni Todoke 2nd Season, tags: 
Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo, tags: 
Kimi no Na wa., tags: 
"Komi-san wa, Comyushou desu.", Name: "Komi-san wa Comyushou desu.", tags: 
"Komi-san wa Comyushou desu. 2nd Season", tags: 
Koukyuu no Karasu, tags: 
Kurenai no Buta, tags: 
Kusuriya no Hitorigoto, tags: 
Majo no Takkyuubin, tags: 
Mikakunin de Shinkoukei, tags: 
Mimi wo Sumaseba, tags: 
Mushoku Tensei: Isekai Ittara Honki Dasu, tags: 
Nisekoi, tags: 
Nodame Cantabile, tags: 
Orange, tags: 
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken, tags: 
Ouran Koukou Host Club, tags: 
Paripi Koumei, Name: Ya Boy! Kongming, tags: 
Promare, tags: 
Renai Flops, tags: 
Romantic Killer, tags: 
Sen to Chihiro no Kamikakushi, tags: 
Shiguang Dailiren, tags: 
Shiguang Dailiren Fan Wai Pian: Biwu Zhaoqin, tags: 
Shin Kidou Senki Gundam Wing: Endless Waltz, tags: 
Shinigami Bocchan to Kuro Maid, tags: 
Shoujo Kakumei Utena: Adolescence Mokushiroku, tags: 
Skip Beat!, tags: 
Skip to Loafer, tags: 
Sono Bisque Doll wa Koi wo Suru, tags: 
Spy x Family, Name: Spy X Family, tags: 
Spy x Family Part 2, tags: 
Spy x Family Season 2, tags: 
Tenki no Ko, tags: 
Tensei Oujo to Tensai Reijou no Mahou Kakumei, tags: 
Tokyo Godfathers, tags: 
Tomo-chan wa Onnanoko!, Name: Tomochan, tags: 
Tonari no Kaibutsu-kun, tags: 
Tonari no Totoro, tags: 
Uchi no Kaisha no Chiisai Senpai no Hanashi, tags: 
Watashi no Shiawase na Kekkon, tags: 
Yamada-kun to Lv999 no Koi wo Suru, tags: 
Yubisaki to Renren, tags: 
