CLANNAD: After Story,10
Kino no Tabi: the Beautiful World,9
Ouran Koukou Host Club,9
PERFECT BLUE,9
Ansatsu Kyoushitsu 2,8.5
Fruits Basket: 2nd Season,8.5
Haikyuu!! 2nd Season,8.5
HUNTER×HUNTER (2011),8.5
Kimi no Na wa.,8.5
Mob Psycho 100 II,8.5
Mob Psycho 100 III,8.5
Saiki Kusuo no Ψ-nan 2,8.5
VINLAND SAGA,8.5
Ansatsu Kyoushitsu,8
Chainsaw Man,8
Code Geass: Hangyaku no Lelouch R2,8
Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST,8
Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,8
Koe no Katachi,8
Kuzu no Honkai,8
Mob Psycho 100,8
Shigatsu wa Kimi no Uso,8
Blue Period,7.5
Code Geass: Fukkatsu no Lelouch,7.5
Code Geass: Hangyaku no Lelouch,7.5
Death Parade,7.5
Dr. STONE,7.5
Fruits Basket: 1st Season,7.5
Fruits Basket: The Final,7.5
Haikyuu!!,7.5
Hetalia Axis Powers,7.5
Jujutsu Kaisen 0,7.5
Kino no Tabi: Nanika wo Suru Tame ni -life goes on.-,7.5
Made in Abyss,7.5
Mahou Shoujo Madoka☆Magica,7.5
Munou na Nana,7.5
Pocket Monsters,7.5
Pocket Monsters: Mizu no Miyako no Mamorigami Latias to Latios,7.5
Saiki Kusuo no Ψ-nan,7.5
Toradora!,7.5
3-gatsu no Lion,7
ARIA The ANIMATION,7
Black Bullet,7
Blue Lock,7
Boku no Hero Academia 2,7
Go-toubun no Hanayome,7
Go-toubun no Hanayome ∬,7
Happy Sugar Life,7
"Hetalia Axis Powers Movie: Paint it, White!",7
Himouto! Umaru-chan,7
Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen,7
Kino no Tabi: the Beautiful World - Byouki no Kuni: For You,7
Kobayashi-san Chi no Maidragon,7
"Kobayashi-san Chi no Maidragon: Valentine, Soshite Onsen! (Amari Kitai Shinaide Kudasai)",7
"Komi-san wa, Komyushou desu.",7
Kono Subarashii Sekai ni Shukufuku wo!,7
Kono Subarashii Sekai ni Shukufuku wo! 2,7
Kore wa Zombie desu ka?,7
Ore Monogatari!!,7
Re:Zero kara Hajimeru Isekai Seikatsu,7
Scott Pilgrim Takes Off,7
Soul Eater,7
Tokyo Mew Mew,7
Violet Evergarden,7
Boku no Hero Academia,6.8
Boku dake ga Inai Machi,6.5
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei - The Animation,6.5
Hetalia: The Beautiful World,6.5
Hetalia: The World Twinkle,6.5
Kakegurui,6.5
Kakegurui ××,6.5
Kino no Tabi: the Beautiful World - Tou no Kuni: Free Lance,6.5
Love Live! School idol project,6.5
orange,6.5
Panty & Stocking with Garterbelt,6.5
Sen to Chihiro no Kamikakushi,6.5
BanG Dream!,6
BEASTARS,6
Blend S,6
BTOOOM!,6
Charlotte,6
Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,6
Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,6
Darling in the Franxx,6
Doraemon (1979),6
FAIRY TAIL,6
FLCL,6
Fruits Basket: prelude,6
Gregory Horror Show,6
Haikyuu!! TO THE TOP,6
Hi Score Girl,6
Hi Score Girl II,6
Hi Score Girl: EXTRA STAGE,6
Ishuzoku Reviewers,6
Kaichou wa Maid-sama!,6
Kimi no Suizou wo Tabetai,6
kiss×sis,6
Kotonoha no Niwa,6
Mirai Nikki,6
Mob Psycho 100: Daiikkai Rei toka Soudansho Ian Ryokou - Kokoro Mitasu Iyashi no Tabi,6
NEW GAME!,6
No Game No Life,6
No Game No Life Zero,6
Noragami ARAGOTO,6
Promare,6
Saiki Kusuo no Ψ-nan: Kanketsu-hen,6
Sakurasou no Pet na Kanojo,6
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,6
"Shin Seiki Evangelion Movie: Air / Magokoro wo, Kimi ni",6
The Balloon Catcher,6
Tokyo Magnitude 8.0,6
Tsumiki no Ie,6
Wonder Egg Priority,6
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,6
Yuuri!!! on ICE,6
Angel Beats!,5.6
Danganronpa 3: The End of Kibougamine Gakuen - Kibou-hen,5.5
"Kanojo, Okarishimasu",5.5
Noragami,5.5
Watashi ga Motete Dousunda,5.5
Horimiya,5
Kino no Tabi -the Beautiful World- the Animated Series,5
Nisekoi,5
One Room,5
Super Danganronpa 2.5 Komaeda Nagito to Sekai no Hakaimono,5
Tokyo Ghoul,5
Oide yo! Mizuryuu Kei Land,4.5
Sword Art Online,4.5
Eromanga Sensei,4
Aldnoah.Zero,3
Byousoku 5 Centimeter,3
Sword Art Online II,3
Sword Art Online: Ordinal Scale,3
Aldnoah.Zero 2,1
Shitcom,0.5
Tenshi no Drop,0.1
